,k
0,0.9828771333537728
1,0.9989543934007497
2,0.9976261837509107
3,0.9687276748100969
4,0.9702654931304664
5,0.9573484201885717
6,0.9984367685113357
7,0.9948051552955818
8,0.9679839603708353
9,0.9754087873958924
10,0.9835097715465595
11,0.9819757058048953
12,0.9650508242581024
13,0.9740852390088274
14,0.9682947608306706
15,0.981566711106194
16,0.9609006314338494
17,0.9706437988964582
18,0.9512121570742046
19,0.9696554405609581
20,0.9922795422909102
21,0.9625824813869456
22,0.9943604267397089
23,0.9834284403006042
24,0.9935399320894018
25,0.9925164627982316
26,0.9923950514913532
27,0.990941814948136
28,0.947421277994549
29,0.9764106957491792
30,0.977140836047903
31,0.9960524368759831
32,0.9397643731731297
33,0.9893775659233873
34,0.9894773919216296
35,0.9654102457764683
36,0.9857631685737364
37,0.9851293143171662
38,0.9861140733254601
39,0.9655267472694656
40,0.9880174627893293
41,0.9916571381713702
42,0.973749527879595
43,0.9729207142932326
44,0.9829974623648664
45,0.988018835032825
46,0.9924968198948296
47,0.9672400572611861
48,0.9635496709081207
49,0.9690646475627901
50,0.9795481099236885
51,0.9932563688310816
52,0.9743954089811335
53,0.9902619598844936
54,0.9854702789379545
55,0.9760857486448181
56,0.9774484802101973
57,0.9876233048330327
58,0.972172027219236
59,0.9828636096617918
60,0.9809834065385007
61,0.9454903235247962
62,0.9837739589544322
63,0.9669798986912992
64,0.985558369238544
65,0.9508228533654216
66,0.9976813378920311
67,0.9491315025998771
68,0.9774018722056884
69,0.9586361249042519
70,0.9876916223446055
71,0.9903595000533326
72,0.9915569563415655
73,0.9765041038768729
74,0.9487567409587658
75,0.9953547990433453
76,0.9966340805607853
77,0.9632074515678519
78,0.9918642939684276
79,0.9606538813482202
80,0.9619035850224068
81,0.9867363607033864
82,0.9512559729965677
83,0.9842704798445843
84,0.9403587558757457
85,0.9843963080479614
86,0.9854178835613985
87,0.9938055685535778
88,0.9632117989666901
89,0.9703598810223781
90,0.9885544251009508
91,0.9889235125480833
92,0.9998513673406905
93,0.9545854845966798
94,0.9825527590320251
95,0.966372534779284
96,0.9638176101492939
97,0.978961300849877
98,0.9730298104713264
99,0.9796310828877801
100,0.9894244431410291
101,0.9681346103880129
102,0.9998008335648781
103,0.9666680503394632
104,0.9947584752012514
105,0.9771727369304316
106,0.9721319261720385
107,0.9551619654889807
108,0.9751876000025905
109,0.9948218581974733
110,0.9916774509058927
111,0.9450566598711124
112,0.992606419297935
113,0.9710088316500657
114,0.9289800863218145
115,0.9686355229470756
116,0.9894096574518721
117,0.9404092309732958
118,0.991781479343042
119,0.9957048555296625
120,0.9861214500739993
121,0.9952472822396815
122,0.9681534963477995
123,0.980866075789401
124,0.9719652641721135
125,0.9882961951858666
