,xi
0,0.010099671397420537
1,0.01871365866019393
2,0.05851284372079093
3,0.03156814155986543
4,0.012225086230222568
5,0.006085761947805725
6,0.046373046280208705
7,0.024209227613175954
8,0.026817295775837493
9,0.050668975871565276
10,0.03772767150757766
11,0.000605987659716048
12,0.027236176359745044
13,0.02006758030945667
14,0.011697409295614178
15,0.020955247736976032
16,0.06159956052655784
17,0.04257016142931508
18,0.034082582703234554
19,0.019245728924759196
20,0.0238612401063633
21,0.046657773032313644
22,0.02245605990870012
23,0.06896078144194576
24,0.04170194541656568
25,0.033380082117792906
26,0.02977917376878999
27,0.017158171632853724
28,0.0070205810119517605
29,0.0032126916856671885
30,0.007862443257010578
31,0.0311156555832754
32,0.010824671701813761
33,0.003784073461776883
34,0.02811140556565505
35,0.0011021113246335243
36,0.022492958882041454
37,0.007417327737046968
38,0.00927555812563189
39,0.011158386409197203
40,0.024601084805417894
41,0.016531616188907843
42,0.05898623760529034
43,0.005985752554398663
44,0.042219190668553744
45,0.003202830274851427
46,0.036042577094892496
47,0.02111432141418419
48,0.001903324767057766
49,0.04565950110694081
50,0.03096887136328648
51,0.0033400395752289924
52,0.0048285101096422565
53,0.02273716269190839
54,0.01069509805021467
55,0.01631418877409105
56,0.04040492054513216
57,0.019275198618299794
58,0.054623648542655584
59,0.02260435271194566
60,0.003934782035491495
61,0.03363063846175004
62,0.019083736226268945
63,0.014257249921442523
64,0.009003880908376567
65,0.003119013731220189
66,0.0472724130098651
67,0.006919744903173333
68,0.018703538467130677
69,0.02877084386834537
70,0.018774411900489712
71,0.007839935849690578
72,0.021047116402363796
73,0.006911086663509971
74,0.00631483691343733
75,0.008421416152724452
76,0.01708914274746745
77,0.004382996100738688
78,0.038477431133339936
79,0.030456721710835147
80,0.05831682296275467
81,0.015541479685321434
82,0.00419869531878896
83,0.03645760513815004
84,0.027928289287941187
85,0.013676189051574892
86,0.03353237845591044
87,0.02966035153806277
88,0.030821620095415368
89,0.015469115741557727
90,0.04848431914586906
91,0.004689675039275409
92,0.0014816168800214826
93,0.003323691335590871
94,0.019149326006580175
95,0.031567635209357514
96,0.008374053301961646
97,0.031175509835513773
98,0.017659456725544937
99,0.008118984597002863
100,0.04487959440172966
101,0.030057565724336353
102,0.02773179144696723
103,0.0468124232032462
104,0.04266876361927689
105,0.02870711610188241
106,0.02368089144085812
107,0.019310093614057347
108,0.016213840677595254
109,0.023074262976172565
110,0.007994307694814524
111,0.006871645016632412
112,0.03502515592541512
113,0.006897609626058905
114,0.02274933007364495
115,0.010977320287845933
116,0.025565196199977172
117,0.012398595520237568
118,0.04594286383002713
119,0.039926142097183856
120,0.002725626114822112
121,0.048833496518447705
122,0.051368260228778384
123,0.041482296302136124
124,0.03609655551023559
125,0.02181997535839899
126,0.022030446133021273
127,0.02299189364566842
128,0.01276424655694916
129,0.011389762394123506
130,0.013644984924071818
131,0.021398264560636083
132,0.016959122520701364
133,0.01277484112353654
134,0.022525309345096375
135,0.016832219288669528
136,0.028139446105296725
137,0.03531053884676279
138,0.006501049034883832
139,0.010087322678411108
140,0.032402360463527256
141,0.02150248687444277
142,0.03552432473878036
143,0.023396671151640958
144,0.04531831564680604
145,0.03269457649360777
146,0.04484649575068464
147,0.023907286421321422
148,0.010404074673980551
149,0.0030683326263206126
150,0.05099131883498242
151,0.015277438459038378
152,0.010438364598121405
153,0.009757155402415276
154,0.034869657933487105
155,0.02864698210035876
156,0.05811848648468949
157,0.03033825637574654
158,0.04889889388350268
159,0.013035034117517778
160,0.013025110982396348
161,0.025771415787913983
162,0.03403643082852358
163,0.028671735459023802
164,0.03208733327800209
165,0.035006095818881144
166,0.03729822555982773
167,0.019451652308120272
168,0.0009008364316123972
169,0.0013121782596140358
170,0.0352071365395052
171,0.021496619979016474
172,0.03028924606143253
173,0.009388824268518201
174,0.030235406979003746
175,0.028629152550582362
176,0.0258820065637833
177,0.026124546005900542
178,0.025918511284369873
179,0.021611382953050172
180,0.013231326155416757
181,0.03641348639393628
182,0.0316827467154397
183,0.0198971380636548
184,0.055775764253067475
185,0.0012884308505833122
186,0.041801455732385806
187,0.0025532627628299027
188,0.03188266014015506
189,0.0534803580198064
190,0.009724062416667553
191,0.004219057939994848
192,0.015880584137348837
193,0.044823922824204
194,0.04027829737638599
195,0.011015653662967025
196,0.03203632186047363
197,0.01188990614292604
198,0.005014064733487509
199,0.005487406828281653
200,0.015163697730019828
201,0.036229591727435236
202,0.009602889925815067
203,0.002808813910939123
204,0.022058941645364892
205,0.013422818928350105
206,0.0025232114539238955
207,0.01330497254093937
208,0.03469561976764974
209,0.0007649582585338519
210,0.022420617152880885
211,0.05036560541916148
212,0.026249241820754984
213,0.0365131966995617
214,0.005054017472374407
215,0.0685976894677173
216,0.0016125510179836968
217,0.03474300115027981
218,0.005860229838874553
219,0.03486891602999287
220,0.02921293462576332
221,0.030205102602574998
222,0.011932697171096567
223,0.02791885990315788
224,0.01256927139933139
225,0.024087971597247224
226,0.023859679578545255
227,0.006568452088102278
228,0.03546895324818756
229,0.0006307866081554734
230,0.003369281423988903
231,0.03053888757409093
232,0.0315688825926344
233,0.003115331730039271
234,0.049400010400879824
235,0.005071501964866255
236,0.029039527505282
237,0.04512203681612292
238,0.021531658712452134
239,0.02073145738858959
240,0.036446261281440934
241,0.01482599088339771
242,0.008732012363094569
243,0.0354003097139101
244,0.01185898177312107
245,0.031225949330425502
246,0.027241014761715816
247,0.012602584887919384
248,0.0017348181259550937
249,0.00010419206627811095
250,0.0662636150545319
251,0.007689940645154013
252,0.015181052659585255
253,0.01633025867681971
254,0.023571352546486457
255,0.0041252751532558935
256,0.058043643841381345
257,0.004365874552972877
258,0.032664084922493335
259,0.0176401590316368
260,0.011852159517504802
261,0.007030625470827952
262,0.034522754318039264
263,0.013519604160541192
264,0.039486905152737575
265,0.03159654805619258
266,0.025056546972976323
267,0.0023502039086347516
268,0.03708456016741453
269,0.05395171285168497
270,0.029847469287021124
271,0.04715779822645238
272,0.016666596239749042
273,0.008828759201040738
274,0.012912188454380986
275,0.03307311573260154
276,0.019943207258051113
277,0.0068154696759585975
278,0.006028800678627669
279,0.03350386275619809
280,0.02141754427319219
281,0.05115006378819244
282,0.014120146808724077
283,0.004361577284786325
284,0.0007880123272402994
285,0.034387780409876445
286,0.013374760045748354
287,0.0427622280659081
288,0.020045804283753486
289,0.02546524925311726
290,0.015393407092941114
291,0.005402941278215445
292,0.029573357183916727
293,0.011329782725054681
294,0.023463899502457624
295,0.01081710856296509
296,0.026255744887002254
297,0.013822647003292863
298,0.006306453331310486
299,0.013390994039959947
300,0.014366902357579814
301,0.02046054387795443
302,0.01045137654673865
303,0.013942850938742389
304,0.004597218132146249
305,0.026809694375426074
306,0.0239250343325092
307,0.039897040091519356
308,0.025969032522458833
309,0.03916960847587543
310,0.004724694103962161
311,0.010418271280417451
312,0.05554295695497703
313,0.05204245857228845
314,0.054811637558317916
315,0.002631887283062552
316,0.02467826079613801
317,0.020979255977782107
318,0.02187746355046005
319,0.015492219054631771
320,0.010624658227874343
321,0.025249227721953288
322,0.0270629465341141
323,0.06577028417155427
324,0.007969009625187639
325,0.021820434496195175
326,0.03769637941528034
327,0.03788858450774113
328,0.005307029482284757
329,0.0011691080131439324
330,0.053613871709107586
331,0.01609395949300103
332,0.002446406680831823
333,0.0003353603248590839
334,0.02543601875755544
335,0.011520801150292186
336,0.02506903657829994
337,0.026649607694042232
338,0.001138520841464338
339,0.01521908486182742
340,0.027215952401387987
341,0.011334127264668287
342,0.004088041795381412
343,0.003382066514830688
344,0.010558637413580542
345,0.015367094449210816
346,0.03656551975137955
347,0.016035270782861145
348,0.014692169391434622
349,0.018419461501123426
350,0.022034787595468945
351,0.007541423987486005
352,0.030334411678135713
353,0.02911446688570351
354,0.007184187739060691
355,0.0031158369912293337
356,0.025656757793013518
357,0.0022636597999982845
358,0.0027734006016853045
359,0.018764426370264018
360,0.00619181852150686
361,0.02373426095214547
362,0.04040570155161172
363,0.014377628340459345
364,0.03643756964861081
365,0.01897707426679436
366,0.0112383973885324
367,0.050718430420329544
368,0.022362791560621
369,0.028802844175419694
370,0.03398665055024411
371,0.018436001350624898
372,0.01773324748676463
373,0.013864172473968359
374,0.003339989393176649
375,0.04648458143000097
376,0.01216872394736266
377,0.0018426876672836111
378,0.008973081576888038
379,0.008466090296173595
380,0.00947563581209962
381,0.007135193589018075
382,0.02204583984487174
383,0.025581296292304587
384,0.03805243755310847
385,0.006131412005464821
386,0.04113561555056499
387,0.04560511909588009
388,0.02801769477240676
389,0.006893296717264545
390,0.004479229490748663
391,0.02137108658395072
392,0.02793592150239741
393,0.0036591913558199863
394,0.016668218421852343
395,0.027496407938668796
396,0.0015720557508810719
397,0.014861382684907463
398,0.015160519145233373
399,0.03322807719712519
400,0.0006376635184407401
401,0.02412835992909152
402,0.00744906684577128
403,0.007588963855823819
404,0.03107652714758145
405,0.012034456988662911
406,0.01221007973730532
407,0.03434386959130231
408,0.001640985006813929
409,0.06419408055483677
410,0.013851264878399562
411,0.008276027253465146
412,0.0016505687707128918
413,0.03420917834880187
414,0.024782866742834954
415,0.015708530002353262
416,0.01375487458468206
417,0.04199535364594817
418,0.02962379049939625
419,0.04667249893377412
420,0.012294295331526393
421,0.007273811318600536
422,0.020697247752322817
423,0.025737336246799337
424,0.045935298465031485
425,0.035153044301955434
426,0.010470457583924158
427,0.011103492195539133
428,0.028555162502329604
429,0.012543924418413142
430,0.006709623853537051
431,0.013816184391012527
432,0.032287304015988054
433,0.0019948486181061054
434,0.004838169817410663
435,0.0022083157599198447
436,0.02171422716329835
437,0.014747732053338857
438,0.026667558505532252
439,0.016303624479239023
440,0.004307261081133371
441,0.015246438019113549
442,0.0038296118908639097
443,0.02070929327611657
444,0.011433308815150239
445,0.06566333141077811
446,0.011151932308856324
447,0.0010733478856309736
448,0.009935014773415105
449,0.0028374906548644654
450,0.044318128110142276
451,0.025637573127675888
452,0.07333631530470186
453,0.016344453487311762
454,0.03999038329974594
455,0.050676578145645246
456,0.06889691302059547
457,0.024678982481122172
458,0.018438073066521968
459,0.019782978972298436
460,0.02053201046875159
461,0.025352331393229198
462,0.058877447986686315
463,0.002939029332999051
464,0.02533955074469504
465,0.0015195449844182633
466,0.008980714229268874
467,0.049935558082875774
468,0.010803723972227404
469,0.017184703982000803
470,0.016179417120207477
471,0.008666827667097067
472,0.037679868666925874
473,0.021267321679182438
474,0.0031839028993393124
475,0.033867226532288165
476,0.01658786247608042
477,0.01627994852072788
478,0.034605462699256705
479,0.034468940911472956
480,0.02028671297681152
481,0.023103650480523073
482,0.01219907856212306
483,0.0030461835590396905
484,0.027912701083089367
485,0.014124079953827223
486,0.0013887922909972756
487,0.013681799293619307
488,0.015345965275329412
489,0.0015088779195465618
490,0.03848117069812053
491,0.03009423393391379
492,0.016270074399170754
493,0.04446048689649746
494,0.02894769826852473
495,0.015902806266172072
496,0.002839186200997726
497,0.009365124170030806
498,0.0192136877224212
499,0.017737921125587204
500,0.012738347081674296
501,0.009156792596919153
502,0.016134349181194576
503,0.03698710534748697
504,0.04333856220958285
505,0.027198046802602602
506,0.057648295461040444
507,0.0024153029580341184
508,0.016304422569481544
509,0.022344706094505506
510,0.008523702570253242
511,0.018160640778290577
512,0.0007231412806013755
513,0.03752197640725795
514,0.006115568364823238
515,0.03131075439430762
516,0.010177753155796965
517,0.018638858175871575
518,0.011981004854706285
519,0.05472400703617723
520,0.03767653340674365
521,0.046358813200576186
522,0.0031210932118287474
523,0.025682689042897906
524,0.007743866682027083
525,0.017756758541594052
526,0.04637979717770556
527,0.0063984590381568895
528,0.0120118268099288
529,0.04867954869283217
530,0.008183161838075406
531,0.02005933287218793
532,0.0020832883249166352
533,0.01338748455658163
534,0.0006737135390254357
535,0.029151998995863487
536,0.017877735158131798
537,0.025920206993680864
538,0.007899355004866961
539,0.018647158260589512
540,0.017171845183861514
541,0.021521763934277592
542,0.006872017205752005
543,0.009156877636340946
544,0.009799902595034934
545,0.04322208714178789
546,0.01740067530298491
547,0.020653353895332873
548,0.024766636465932565
549,0.0043745979308446245
550,0.025467495528502533
551,0.0067292777513626445
552,0.031043333913633314
553,0.0030266924981206763
554,0.0067267571299812305
555,0.0295215881682404
556,0.028660126217285954
557,0.001833350062722245
558,0.03192491018929946
559,0.01776523789323113
560,0.008748022602895603
561,0.013188149913020624
562,0.010425445250160826
563,0.0412397282522997
564,0.02210245271445785
565,0.0030013639370861257
566,0.04229706743994282
567,0.08207440194342716
568,0.014813964153612469
569,0.06218576452107236
570,0.036218699062817133
571,0.026719420421349678
572,0.002959504396600709
573,0.006547089459709087
574,0.03325519038017752
575,0.010680646162994103
576,0.008597230847958461
577,0.0007555309787379075
578,0.020575649315708332
579,0.013799059290417557
580,0.019626753081287175
581,0.014227606994043813
582,0.03703270710047765
583,0.010450952402028419
584,0.034820623275959944
585,0.011803940362553538
586,0.009502979916001766
587,0.008003860417426453
588,0.024184704584361925
589,0.017737685200141705
590,0.020949615410266884
591,0.04495473091867669
592,0.026670338962085996
593,0.0374070147068992
594,0.00160244815365293
595,0.03584194513382991
596,0.040440664248529185
597,0.026111389527293794
598,0.028165407447019723
599,0.05589893170211704
600,0.0210939741328899
601,0.05089878997300627
602,0.012622386655354464
603,0.010427549680425231
604,0.008612331048396312
605,0.003384141458443835
606,0.023742208137837582
607,0.004377542575049235
608,0.020253838155831302
609,0.015044465632902782
610,0.008698146104056366
611,0.03689631174389488
612,0.04190801066329144
613,0.005163938054284835
614,0.03803350554998998
615,0.053458068047227
616,0.022419849902818027
